Source,Target
71,126
71,231
71,285
71,130
71,106
71,305
71,66
71,176
71,226
71,59
71,155
71,150
71,131
71,205
71,309
71,111
71,322
71,72
71,45
71,220
126,111
126,189
126,226
126,130
126,176
126,231
126,24
126,220
126,305
126,285
126,72
126,106
126,146
126,193
126,155
126,59
126,196
126,199
126,85
126,131
111,176
111,76
111,199
111,24
111,330
111,146
111,100
111,305
111,72
111,223
111,226
111,66
111,126
111,107
111,193
111,85
111,78
111,250
111,298
111,140
176,111
176,330
176,146
176,223
176,211
176,199
176,100
176,250
176,155
176,131
176,305
176,24
176,66
176,140
176,243
176,72
176,76
176,6
176,150
176,151
330,243
330,223
330,111
330,6
330,79
330,176
330,90
330,150
330,137
330,146
330,211
330,67
330,41
330,250
330,311
330,144
330,66
330,228
330,230
330,142
146,140
146,294
146,327
146,151
146,305
146,211
146,176
146,90
146,147
146,31
146,100
146,223
146,207
146,24
146,330
146,67
146,114
146,137
146,111
146,136
223,225
223,110
223,145
223,228
223,314
223,338
223,60
223,212
223,243
223,274
223,78
223,250
223,35
223,98
223,28
223,6
223,260
223,236
223,16
223,229
211,146
211,330
211,231
211,147
211,253
211,176
211,331
211,258
211,97
211,3
211,327
211,102
211,151
211,49
211,45
211,305
211,294
211,72
211,142
211,127
199,93
199,111
199,298
199,68
199,176
199,48
199,76
199,79
199,193
199,271
199,192
199,13
199,98
199,200
199,66
199,115
199,72
199,194
199,250
199,16
100,223
100,33
100,107
100,260
100,228
100,155
100,176
100,146
100,338
100,250
100,111
100,99
100,147
100,206
100,207
100,38
100,142
100,78
100,211
100,225
250,223
250,225
250,228
250,314
250,243
250,110
250,6
250,260
250,338
250,60
250,76
250,200
250,330
250,48
250,145
250,98
250,111
250,66
250,274
250,100
155,99
155,100
155,307
155,176
155,141
155,135
155,131
155,211
155,89
155,218
155,146
155,250
155,164
155,113
155,53
155,332
155,38
155,134
155,223
155,103
131,155
131,176
131,113
131,116
131,127
131,196
131,49
131,289
131,211
131,53
131,141
131,72
131,226
131,105
131,199
131,337
131,218
131,244
131,24
131,330
305,146
305,231
305,285
305,90
305,140
305,294
305,151
305,176
305,242
305,111
305,211
305,150
305,327
305,100
305,130
305,330
305,72
305,114
305,38
305,31
24,196
