label,id
14 Bis,0
3 Na Massa,1
A Banda Mais Bonita da Cidade,2
A Cor Do Som,3
Abel Ferreira,4
Academia da Berlinda,5
Adoniran Barbosa,6
Adriana Calcanhotto,7
Adriana Partimpim,8
Agepê,9
Agostinho Dos Santos,10
Airto Moreira,11
Alaíde Costa,12
Alcione,13
Alessandra Leao,14
Aline Calixto,15
Almir Guineto,16
Altamiro Carrilho,17
Altemar Dutra,18
Amelinha,19
Ana Caram,20
Ana Cañas,21
Ana Costa,22
Anelis Assumpção,23
Angela Ro Ro,24
Antonio Jobim,25
Antônio Carlos Jobim,26
Apanhador Só,27
Aracy de Almeida,28
Arlindo Cruz,29
Arnaldo Antunes,30
Arnaldo Baptista,31
Arrigo Barnabé,32
Ary Barroso,33
Astrud Gilberto,34
Ataulfo Alves,35
Ave Sangria,36
BNegão,37
Baden Powell,38
Baden Powell and Vinicius de Moraes,39
Baiano E Os Novos Caetanos,40
Banda Black Rio,41
Banda do Mar,42
Batatinha,43
Bebeto,44
Belchior,45
Benil Santos,46
Benito Di Paula,47
Beth Carvalho,48
Beto Guedes,49
Bezerra Da Silva,50
BiD,51
Bixiga 70,52
Boca Livre,53
Bossa Jazz Trio,54
Bossacucanova,55
Bruna Caram,56
Bárbara Eugênia,57
Cabruêra,58
Caetano Veloso,59
Candeia,60
Carlinhos Brown,61
Carlos Cachaca,62
Carlos Dafé,63
Carlos Galhardo,64
Carlos Lyra,65
Cartola,66
Cassiano,67
Casuarina,68
Cauby Peixoto,69
Celso Fonseca,70
Chico Buarque,71
Chico César,72
Chico Science,73
Cidadão Instigado,74
Clara Moreno,75
Clara Nunes,76
Claudette Soares,77
Clementina De Jesus,78
Clube Do Balanço,79
Comadre Florzinha,80
Cordel do Fogo Encantado,81
Cristina Buarque,82
Curumin,83
Cyro Monteiro,84
Céu,85
Dalto,86
Dalva De Oliveira,87
Daniela Mercury,88
Danilo Caymmi,89
Di Melo,90
Dick Farney,91
Dilermando Reis,92
Diogo Nogueira,93
Dolores Duran,94
Dom Salvador,95
Dom Um Romao,96
Dominguinhos,97
Dona Ivone Lara,98
Dori Caymmi,99
Dorival Caymmi,100
Dudu Nobre,101
Ednardo,102
Edu Lobo,103
Egberto Gismonti,104
Elba Ramalho,105
Elis Regina,106
Elizeth Cardoso,107
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",108
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",109
Elton Medeiros,110
Elza Soares,111
Emilinha Borba,112
Emílio Santiago,113
Erasmo Carlos,114
Fabiana Cozza,115
Fafá de Belém,116
Fagner,117
Fernanda Abreu,118
Fernanda Takai,119
Filipe Catto,120
Fino Coletivo,121
Flavio Venturini,122
Francis Hime,123
Francisco Alves,124
Gabrielzinho Do Irajá,125
Gal Costa,126
Geraldo Azevedo,127
Geraldo Vandre,128
Gerson King Combo,129
Gilberto Gil,130
Gonzaguinha,131
Grupo Fundo De Quintal,132
Guilherme Arantes,133
Guinga,134
Hamilton De Holanda,135
Hermeto Pascoal,136
Hyldon,137
Instituto,138
Isabella Taviani,139
Itamar Assumpção,140
Ivan Lins,141
Jackson Do Pandeiro,142
Jacob Do Bandolim,143
Jair Rodrigues,144
Jamelão,145
Jards Macalé,146
Joao Do Vale,147
Johnny Alf,148
Jorge Aragão,149
Jorge Ben Jor,150
Jorge Mautner,151
Jorge Veiga,152
Jorge Vercillo,153
Joyce,154
João Bosco,155
João Donato,156
João Donato E Seu Trio,157
João Gilberto,158
Junio Barreto,159
Jussara Silveira,160
Karina Buhr,161
Katinguelê,162
Kleiton & Kledir,163
Leila Pinheiro,164
Lenine,165
Lenny Andrade,166
Leny Andrade,167
Leoni,168
Los Sebosos Postizos,169
Luca Mundaca,170
Lucas Santtana,171
Luciana Mello,172
Luciana Souza,173
Lucio Alves,174
Luiz Bonfá,175
Luiz Melodia,176
Luiz Tatit,177
Luiza Possi,178
Lula Queiroga,179
Lupicínio Rodrigues,180
Lô Borges,181
Mallu Magalhães,182
Maquinado,183
Marcelo Camelo,184
Marcelo Jeneci,185
Marcos Sacramento,186
Marcos Valle,187
Margareth Menezes,188
Maria Bethânia,189
Maria Creuza,190
Maria Gadú,191
Maria Rita,192
Mariana Aydar,193
Mariene De Castro,194
Marina De La Riva,195
Marina Lima,196
Marisa Monte,197
Marku Ribas,198
Mart'nália,199
Martinho Da Vila,200
Meirelles E Os Copa 5,201
Mestre Ambrósio,202
Miltinho,203
