label,id
14 Bis,0
2KIKE,1
3 Na Bossa,2
3 Na Massa,3
509-E,4
A Banda de Joseph Tourton,5
A Barca,6
A Bolha,7
A Cor Do Som,8
A Dama,9
A Filial,10
A Outra Banda Da Lua,11
A Quenlla,12
A Roda,13
A Travestis,14
ADL,15
Abacaxepa,16
Abayomy Afrobeat Orquestra,17
Abdias,18
Abel Ferreira,19
Abel Ferreira E Seu Conjunto,20
Abilio Farias,21
Academia da Berlinda,22
Adelmario Coelho,23
Adoniran Barbosa,24
Adão Negro,25
Afel Bocoum,26
Afoxé Oyá Alaxé,27
Africania,28
Afrikan Simba,29
Afrocidade,30
Afrodizia,31
Agepê,32
Agostinho,33
Agô!,34
Akira Presidente,35
Alavontê,36
Alberto Salles,37
Alceu Valença,38
Alcymar Monteiro,39
Aldo Parisot,40
Aldo Sena,41
Alessandra Leao,42
Alhousseini Anivolla,43
Alice Caymmi,44
Alice Guél,45
Alien Dread,46
Aline Duran,47
Alma Djem,48
Almir Rouche,49
Almério,50
Altamiro Carrilho,51
Aláfia,52
Alípio Martins,53
Amanajé,54
Amanajé Sound System,55
Amazan,56
Amelinha,57
Ammar 808,58
Ana Kiro,59
Ana Maria Carvalho,60
André Abujamra,61
André Rio,62
Andrés Do Barro,63
Anelis Assumpção,64
Angela Ro Ro,65
Anitta Garybaldi,66
Anna Ratto,67
Antonio Barros,68
Antônio Nóbrega,69
Ara Ketu,70
Aracy de Almeida,71
Arcanjo Ras,72
Aretuza Lovi,73
Arismar Do Espírito Santo,74
Arkaya,75
Arleno Farias,76
"Armandinho E Trio Elétrico, Dodô E Osmar",77
"Armandinho, Dodô & Osmar",78
Arnaldo Antunes,79
Arnaldo Baptista,80
Arraial Do Pavulagem,81
Arrigo Barnabé,82
Arthur Moreira Lima,83
Ary Lobo,84
As Baías,85
As Ganhadeiras de Itapuã,86
Asa De Águia,87
Ashanti Selah,88
Assisão,89
Astarot,90
Ataulfo Alves,91
Athalyba E A Firma,92
AudioFile Collective,93
Ava Rocha,94
Ave Sangria,95
Aviões do Forró,96
Awaken Love Band,97
Azulão,98
Aíla,99
BABY,100
BANTU,101
BIA DOXUM,102
BK,103
BNegão,104
BNegão & Seletores de Frequencia,105
BRAZA,106
Bab L' Bluz,107
Babado Novo,108
Baby Venas,109
Baco Exu do Blues,110
Baden Powell,111
BaianaSystem,112
Baiano E Os Novos Caetanos,113
Baleia,114
Bamdamel,115
Banda A Roda,116
Banda AR-15,117
Banda Aquárius,118
Banda Beijo,119
Banda Black Rio,120
Banda De Pau E Corda,121
Banda De Pifanos De Caruaru,122
Banda Domínio,123
Banda Eddie,124
Banda Eva,125
Banda Fruta Quente,126
Banda Magníficos,127
Banda Mantiqueira,128
Banda Mel,129
Banda Municipal Do Recife,130
Banda Ravelly,131
Banda Sayonara,132
Banda Uó,133
Banda Xeiro De Mel,134
Banda Xeiro Verde,135
Bandavoou,136
Bando De Macambira,137
Barbatuques,138
Barro,139
Batatinha,140
Bel4triz,141
Belchior,142
Bell Marques,143
Belô Velloso,144
Bemti,145
Benedito Lacerda,146
Benito Di Paula,147
Benício Guimarães,148
Berrogüetto,149
Beto Barbosa,150
Beto Brito,151
Beto Guedes,152
BiD,153
Bia Ferreira,154
Bicho de Pé,155
Big Up,156
Biltre,157
Bivolt,158
Bixarte,159
Bixiga 70,160
Black Alien,161
Bloco Mocambinho na Folia,162
Boca Livre,163
Bonde das Maravilhas,164
Bongar,165
Bonke Music,166
Bonsucesso Samba Clube,167
Boogarins,168
Bosq,169
Brasas do Forró,170
Brisa Flow,171
Bruna Caram,172
Bruna Mendez,173
Bruno Gadiol,174
Bráulio Tavares,175
Budah,176
Buguinha Dub,177
Bárbara Eugênia,178
CIDOCA,179
Cabelo,180
Cabruêra,181
Cacau Com Leite,182
Caio Prado,183
Calango Aceso,184
Caldo de Piaba,185
Cambriana,186
Camerata Carioca,187
Camila Honda,188
Canamaré,189
Candeia,190
Canhotinho,191
Canhoto da Paraíba,192
Canindé,193
Cantadeiras do Berbés,194
Canários do Reino,195
Capim Açu,196
Capital Do Sol,197
Carlinhos Brown,198
Carlos Cachaca,199
Carlos Malta,200
Carlos Santos,201
Carne Doce,202
Carranca,203
Cartola,204
Casa Das Máquinas,205
Casa De Farinha,206
Casa Fanti Ashanti,207
Cascabulho,208
Cassiano,209
Castello Branco,210
Cataia,211
Catarina Dee Jah,212
Catuaba Com Amendoim,213
Cavaleiros do Forró,214
Cavalo De Pau,215
Caviar Com Rapadura,216
Caçapa,217
Cedric Myton,218
Ceguinhas De Campina Grande,219
Celo Dut,220
Cerebro Electronico,221
Ceumar,222
Chama Chuva,223
Cheiro de Amor,224
Chernobyl&Praga,225
Chiclete Com Banana,226
Chico Chagas,227
Chico Correa,228
Chico Correa & Electronic Band,229
Chico César,230
Chico Di Pessoa,231
Chico Science,232
China,233
Choro Das 3,234
Choronas,235
Chorões da Pauliceia,236
Chouk Bwa,237
Chouteira,238
Chris MC,239
Chris Murray,240
Chris Murray Combo,241
Cia Cabelo de Maria,242
Cida Moreira,243
Cidade Dormitório,244
Cidade Verde Sounds,245
Cidadão Instigado,246
Circle Music,247
Circuladô de Fulô,248
Clara Lima,249
Clara Nunes,250
Clarianas,251
Claudionor Germano,252
Clementina De Jesus,253
Clemilda,254
Clube Do Balanço,255
Cláudio Rabeca,256
Coeo,257
Coisa de Zé,258
Coletivo Rádio Cipó,259
Comadre Florzinha,260
Combo Cordeiro,261
ConeCrewDiretoria,262
Conjunto Época de Ouro,263
Consciência Humana,264
Consuelo De Paula,265
Coral Bloco da Saudade,266
Cordel do Fogo Encantado,267
Coruja Bc1,268
Crazy Baldhead,269
Criolo,270
Cristal,271
Cristina Amaral,272
Cristina Buarque,273
Cristina Camargo,274
Cristina Tati,275
Cultural Warriors,276
Curica,277
Curumin,278
Cátia de França,279
Cérebro Eletrônico,280
Céu,281
Cézar Mendes,282
Cícero,283
DJ Caique,284
DJ Dolores,285
DJ LK,286
DJ Mam,287
DJ Patife,288
DJ Tudo,289
DJ Waldo Squash,290
DJ Werson,291
DMN,292
DUDA BEAT,293
DV Tribo,294
Dactes,295
Dada Yute,296
Dalsin,297
Daniel Profeta,298
Daniel T.,299
Daniela Mercury,300
Daniela Mercury & DJ Ramilson Maia,301
Danilo Brito,302
Danna Lisboa,303
Danny Bond,304
Danny Red,305
Daparte,306
Darvin,307
Davi Moraes,308
Davi Sabbag,309
Davzera,310
De Leve,311
De Menos Crime,312
Deal's Gone Bad,313
Deelicious,314
Delmiro Barros,315
Denov,316
Detentos do Rap,317
Devotos,318
Devotos Do Odio,319
Di Melo,320
Diego de Moraes e O Sindicato,321
Digitaldubs,322
Dilermando Reis,323
Diomedes Chinaski,324
Dionorina,325
Doctor MC's,326
Dois As,327
Dois Dobrado,328
Dominatrix,329
Dominguinhos,330
Don L,331
Dona Edith Do Prato,332
Dona Onete,333
Dona Selma,334
Dona Zefinha,335
Doralyce,336
Dorgival Dantas,337
Dori Caymmi,338
Dorival Caymmi,339
Dougie Conscious,340
Douglas Germano,341
Dr Packer,342
Dream Team do Passinho,343
Drik Barbosa,344
DuBrazilis,345
Dub Ataque,346
Dubcreator,347
Dubmatix,348
Duquesa,349
Durval Lelys,350
Déa Trancoso,351
Eastern Standard Time,352
Ebony,353
Echo Sound System,354
Eddie,355
Eder O Rocha,356
Edgar,357
Edi Rock,358
Ednardo,359
Edson Duarte,360
Edu Lobo,361
Egberto Gismonti,362
Ekena,363
El Efecto,364
Elba Ramalho,365
Elino Julião,366
Elizeth Cardoso,367
Elo Da Corrente,368
Elomar,369
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",370
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",371
Elton Medeiros,372
Elza Soares,373
Emicida,374
Engole Cobra,375
Entre Linhas,376
Erasmo Carlos,377
Erasto Vasconcelos,378
Escurinho,379
Evandro Do Bandolim,380
Expressão Regueira,381
FBC,382
Fabiana Cozza,383
Fabriccio,384
Faces do Subúrbio,385
Facção Central,386
Fafá de Belém,387
Fagner,388
Falamansa,389
Farofa Carioca,390
Fashion Piva,391
Fatnotronic,392
Faustino Beats,393
Febem,394
Felipe Cordeiro,395
Felix Robatto,396
Feminine Hi Fi,397
Fernanda Abreu,398
Fernanda Porto,399
Fernanda Takai,400
Fernando Beltran,401
Fikir Amlak,402
Filhos de Dona Maria,403
Filipe Catto,404
Filosofia Reggae,405
Fim De Feira,406
Fino Coletivo,407
Fiteck,408
Fióti,409
Fleezus,410
Flora Matos,411
Flávio José,412
Foli Griô Orquestra,413
Forfun,414
Forro In The Dark,415
Forro Red Light,416
Forroçacana,417
Forrueiros,418
Forró Raiz,419
Fouk,420
Fran,421
Francinne,422
Francisca La Braza,423
"Francisco, el Hombre",424
Frank Aguiar,425
Frimes,426
Fruto Sensual,427
Fulô de Mandacaru,428
Funk Como Le Gusta,429
Funk Fuckers,430
Funkero,431
Funky Como Le Gusta,432
Função RHK,433
Furmiga Dub,434
Fuxan Os Ventos,435
GA31,436
GOG,437
Gabriel Grossi,438
Gaby Amarantos,439
Gabz,440
Gaia Piá,441
Gal Costa,442
Galo da Madrugada,443
Gang Do Eletro,444
Garoto,445
Gaviões do Forró,446
Genival Lacerda,447
Genival Santos,448
Geraldinho Lins,449
Geraldo Azevedo,450
Geraldo Maia,451
Geraldo Vandre,452
Geronimo Santana,453
Gilberto Gil,454
Giovani Cidreira,455
Gitkin,456
Gloria Bomfim,457
Gloria Groove,458
Go Jimmy Go,459
Goma-Laca,460
Gonzaguinha,461
Groupe RTD,462
Grupo Bongar,463
Grupo Cupuacu,464
Grupo Ofa,465
Grupo Vou Vivendo,466
Guadi Galego,467
Guardaloop,468
Guentaê!,469
Guga Stroeter & Orquestra HB,470
Guigo,471
Guilherme Held,472
Guinga,473
Guitarradas Do Pará,474
Gustavo Da Lua,475
Gustavo Souza,476
Gutierrez,477
Guzzi,478
Hamilton De Holanda,479
Hamilton De Holanda Quintet,480
Hamilton De Holanda Quinteto,481
Heavy Baile,482
Henrique Cazes,483
Hepcat,484
Heraldo Do Monte,485
Hermeto Pascoal,486
Hiran,487
Hotmood,488
Hurtmold,489
Hyldon,490
Höröyá,491
IZENZÊÊ,492
Iara Rennó,493
Igor Salify,494
Igor de Carvalho,495
Illy,496
Ilê Aiyê,497
Inquérito,498
Instituto,499
Intensified,500
Irah Caldeira,501
Isaar,502
Isabela Moraes,503
Isadora Melo,504
Ismael Silva,505
Itamar Assumpção,506
Iyashanti,507
J.Robinson (WhoDemSound),508
JKriv,509
JOCA,510
Jacinto Silva,511
Jackson Do Pandeiro,512
Jacob Do Bandolim,513
Jade Baraldo,514
Jadsa,515
Jah Dartanhan,516
Jah I Ras,517
Jah Live,518
JahCareggae,519
Jair Oliveira,520
Jaloo,521
Jamelão,522
Jammil,523
Jards Macalé,524
Jau,525
Jazzbo,526
Jeff Boto,527
Jigaboo,528
Jimmy Luv,529
Jo & Tuco,530
Joana Terra,531
Joao Do Vale,532
Joel Nascimento,533
Johnny Hooker,534
Jojo Maronttinni,535
Jonathan Silva,536
Jorge Alabe,537
Jorge Ben Jor,538
Jorge Cabeleira,539
Jorge De Altinho,540
Jorge Mautner,541
Josildo Sá,542
Josyara,543
José Orlando,544
Jota 3,545
Jotaerre,546
Joutro Mundo,547
Jovelina Perola Negra,548
João Bosco,549
João Cavalcanti,550
Jr Black,551
Jr. Black,552
Ju Strassacapa,553
Juliana Sinimbú,554
Juliano Holanda,555
Julio Secchin,556
Junio Barreto,557
Junior Black,558
Jup do Bairro,559
Jurandir Santana,560
Jussara Silveira,561
Juçara Marçal,562
Juçara Marçal e Kiko Dinucci,563
Jé Santiago,564
Jéssica Caitano,565
Júlia Says,566
K-Ximbinho,567
Kafé,568
Kamau,569
Kara Veia,570
Karina Buhr,571
Karol Conká,572
Kas Dub,573
Kas Dub Sound System,574
Kaya Conky,575
Kayuá,576
Kaê Guajajara,577
Kika Boom,578
Kikito,579
Kiko Dinucci,580
Kim Marques,581
King Alpha,582
King Django,583
Kleiton & Kledir,584
Ks French,585
L'Attirail,586
LADAMA,587
LEALL,588
L_cio,589
La Dame Blanche,590
La Pupuña,591
Lamparina e A Primavera,592
Larissa Luz,593
Laura Sette,594
Laylah Arruda,595
Laysa,596
Lazzo Matumbi,597
Lenna Bahule,598
Leo Estakazero,599
Leo Middea,600
Leoes De Israel,601
Lessa Gustavo,602
Letrux,603
Letuce,604
Lia Clark,605
Lia Sophia,606
Lia de Itamaracá,607
Likkle Jota,608
LilDevil3027,609
Limão Com Mel,610
Liniker e os Caramelows,611
Linn da Quebrada,612
Livia Nery,613
Liège,614
Lokkhi Terra,615
Los Porongas,616
Los Sebosos Postizos,617
Los Tamara,618
Luan Estilizado,619
Luan Òwe,620
Lucas Boombeat,621
Lucas Estrela,622
Lucas Santtana,623
Luciana Oliveira,624
Lucio Sanfilippo,625
Luedji Luna,626
Luis Emilio Batallan,627
Luiz Caldas,628
Luiz Carlos Da Vila,629
Luiz Gonzaga,630
Luiz Lins,631
Luiz Melodia,632
Luiz Tatit,633
Luiza Brina,634
Luiza Lian,635
Luizinho De Iraucuba,636
Lula Côrtes,637
Lula Queiroga,638
Lurdez Da Luz,639
Luê,640
Luísa e os Alquimistas,641
Lívia Cruz,642
Lô Borges,643
Lúcio Maia e Jorge du Peixe,644
MARTTE,645
MC Igu,646
MC Loma e As Gêmeas Lacração,647
MC Taya,648
MULAMBA,649
MV Bill,650
Maciel Melo,651
Maciel Salú,652
Macucos,653
Maderito,654
Madureira Armorial,655
Maestro Duda e Sua Orquestra,656
Maestro Forró,657
Maga Bo,658
Magalhães e sua Guitarra,659
Magary Lord,660
Maglore,661
Magníficos,662
Mahmundi,663
Majur,664
Makalister,665
Makonnen Tafari,666
Malvela,667
Malía,668
Mamelo Sound System,669
Mamelungos,670
Manari,671
Manhoso,672
Maniva,673
Mano Brown,674
Manoel Cordeiro,675
Maquinado,676
Maracatu Nação Encanto da Alegria,677
Maracatu New York,678
Marcelinho Da Lua,679
Marcello Gonçalves,680
Marcello Gugu,681
Marcello Rangel,682
Marcelo Camelo,683
Marcelo Quintanilha & Vania Abreu,684
Marco Pereira,685
Marcola Bituca,686
Marcos Valle,687
Marcus Tardelli,688
Margareth Menezes,689
Maria Beraldo,690
Maria Bethânia,691
Mariana Aydar,692
Marie Gabriella,693
Mariene De Castro,694
Marina De La Riva,695
Marina Lima,696
Marina Peralta,697
Marinalva,698
Marines,699
Marinês E Sua Gente,700
Marku Ribas,701
Marsa,702
Mart'nália,703
Martin Campbell,704
Martinho Da Vila,705
Martins,706
Massarock,707
Mastruz Com Leite,708
Mateus Aleluia,709
Mateus Carrilho,710
Mateus Pinguim,711
Mateus Sartori,712
Mato Seco,713
Mauro Cotta,714
Maurício Carrilho,715
Maurício Pereira,716
Mavambo Trio,717
Mawaca,718
Max B.O.,719
Max de Castro,720
Mc Marechal,721
Mc Tha,722
Medulla,723
Melissas,724
Memê no Beat,725
Menestrel,726
Menina do Céu,727
Messias Holanda,728
Mestre Ambrósio,729
Mestre Anderson Miguel,730
Mestre Cupijó,731
Mestre Curica,732
Mestre Salustiano,733
Mestre Solano,734
Mestre Vieira,735
Metá Metá,736
Mia Badgyal,737
Michael Olatuja,738
Michel Irie,739
Mini Box Lunar,740
Mis Ivy,741
Missinho,742
Moacir Santos,743
Moacyr Luz,744
Moinho,745
Mombojó,746
Monarco,747
Monica Soldan,748
Monkey Jhayam,749
Monna Brutal,750
Monobloco,751
Monte Zion,752
Moraes Moreira,753
Moreira Da Silva,754
Moreno Veloso,755
Mundo Livre,756
Mundo Livre S/A,757
Murillo Zyess,758
Murilo Chester,759
Mzuri Sana,760
Márcia Castro,761
Mãeana,762
Nando Cordel,763
Naná Vasconcelos,764
Naná Vasconcelos e Itamar Assumpção,765
Nathalie Alvim,766
Nathy Mc,767
Nation Beat,768
Natália Matos,769
Nazireu Rupestre,770
Nação Regueira,771
Nação Zumbi,772
Nectar Gang,773
Nego Gallo,774
Negro Leo,775
Neguedmundo,776
Nei Lopes,777
Nelson Cavaquinho,778
Nelson Gonçalves,779
Nelson Sargento,780
Nelson da Rabeca,781
Nena Queiroga,782
Nengo Vieira,783
Netinho,784
Neto Trindade,785
Ney Matogrosso,786
Niara,787
Nicolas Krassik,788
Nicole Salmi,789
Nill,790
Nilson Chaves,791
Nilze Carvalho,792
Nina Becker,793
Noel Rosa,794
Nomade Orquestra,795
Noporn,796
Noriel Vilela,797
Novos Baianos,798
Noção Rasta,799
Noúres,800
Ná Ozzetti,801
Nêssa,802
Nó Em Pingo D'água,803
O Bando De María,804
O Cinza,805
O Terco,806
O Terno,807
OQuadro,808
OS CACHORROS,809
Obinrin Trio,810
Odette Amaral,811
Olodum,812
Olodum Banda Reggae,813
Omulu,814
Originais Do Sample,815
Orquesta Compostela,816
Orquesta Contemporânea de Olinda,817
Orquestra Afro/Brasileira,818
Orquestra Brasileira de Música Jamaicana,819
Orquestra Contemporânea de Olinda,820
Orquestra Frevo do Mundo,821
Orquestra Imperial,822
Orquestra Nelson Ferreira,823
Orquestra Petrobras Sinfônica,824
Orquestra Popular da Bomba do Hemetério,825
Orquestra de Frevos,826
Ortinho,827
Os Cempes,828
Os Dinâmicos,829
Os Diplomaticos de Monte-Alto,830
Os Mulheres Negras,831
Os Mutantes,832
Os Originais Do Samba,833
Os Populares de Igarapé-Miri,834
Os Ritmistas,835
Os Tincoãs,836
Osvaldo Oliveira,837
Oswaldinho,838
Oswaldo Montenegro,839
Otto,840
PC Silva,841
Pabllo Vittar,842
Pai Cido de Oxum,843
Pandeiro do Mestre,844
Panorama do Choro,845
Parteum,846
Passo Torto,847
Patricktor4,848
Paul Fox,849
Paula Lima,850
Paulinho Da Viola,851
Paulinho Leite,852
Paulinho Nogueira,853
Paulinho Pedra Azul,854
Paulo Bellinati,855
Paulo Cesar Pinheiro,856
Paulo Diniz,857
Paulo Moura,858
Paulo Moura & Raphael Rabello,859
Paulo Novaes,860
Paulo Sérgio Santos,861
Payfone,862
Pedro Luis E A Parede,863
Pedro Miranda,864
Peixelétrico,865
Pentagono,866
Pepeu Gomes,867
Pepita,868
Petapouco,869
Petrúcio Amorim,870
Phill Veras,871
Pietá,872
Pinduca,873
Pinto Do Acordeon,874
Pio Lobato,875
Piramidi,876
Pitshu,877
Pivete Nobre,878
Pixinguinha,879
Planet Hemp,880
Planta E Raiz,881
Ponto Br,882
Ponto De Equilíbrio,883
Potencial 3,884
Potyguara Bardo,885
Pouca Chinfra,886
Pressure Cooker,887
Preta Gil,888
Projeto Manada,889
Projetonave,890
QG Imperial,891
Quarteto Maogani,892
Quarteto Novo,893
Quarteto Roda de Choro,894
Quempallou,895
Querosene Jacaré,896
Quinteto Armorial,897
Quinteto Da Paraíba,898
Quinteto Fina Flor,899
Quinteto Violado,900
Quinto Andar,901
RAP NOVA ERA,902
RDD,903
RZO,904
Rachel Reis,905
Radamés Gnattali,906
Radiola Serra Alta,907
Rafael Aragon,908
Rafael Rabello,909
Raffa Moreira,910
Raissa Fayet,911
Raiz Do Sana,912
Rancore,913
Rap Plus Size,914
Raphael Rabello,915
Raphael Rabello & Dino 7 Cordas,916
Rappin' Hood,917
Ras Bernardo,918
Ras Teo,919
Rashid,920
Rasta Chinela,921
Rastapé,922
Raul De Barros,923
Raízes Rasta,924
Raízes que Tocam,925
Realidade Cruel,926
Red Lion,927
Red Meditation,928
Reginaldo Rossi,929
Rei Lacoste,930
Renata Rosa,931
Renato Borghetti,932
Renato Braz,933
Renato Teixeira,934
Revoredo,935
Riachão,936
Ricardo Chaves,937
Rico Dalasam,938
Rildo Hora,939
Rimas e Melodias,940
Rincon Sapiência,941
Rio Maracatu,942
Rita Benneditto,943
Roberta Campos,944
Roberta Sá,945
Roberto Mendes,946
Roberto Ribeiro,947
Roberto Sion,948
Robson Jorge,949
Rockers Control,950
Rodrigo Alarcon,951
Rodrigo Campos,952
Rodrigo Costa,953
Rodrigo Ogi,954
Rogério Caetano,955
Rogério Duprat,956
Romero Ferro,957
Romulo Fróes,958
Ronnie Von,959
Rosa Luz,960
Rosa Neon,961
Roseli Martins,962
Rosinha De Valença,963
Rosivaldo Cordeiro,964
Rua De Baixo,965
Rubel,966
Russo Passapusso,967
Ruxe Ruxe,968
S H I R A N,969
SD9,970
SNJ,971
Sa & Guarabyra,972
SaGrama,973
Sabotage,974
Sagaz,975
Sain,976
Saisse e os Bois,977
Salvação,978
Samba de Coco Raizes de Arcoverde,979
Sammliz,980
Samuca e a Selva,981
Sancari,982
Sandeeno,983
Sant,984
"Santanna ""O Cantador""",985
Santrofi,986
Sattivus,987
Saulo Duarte e a Unidade,988
Scambo,989
Scracho,990
Sebastianismos,991
Sebastiao Do Rojao,992
Sebastiao Tapajós,993
Secos & Molhados,994
Seletores de Frequência,995
Selma Uamusse,996
Selvagens à Procura de Lei,997
Semente Cristal,998
Sensimilla Dub,999
Serena Assumpção,1000
Seu Estrelo e o Fuá do Terreiro,1001
Seu Pereira,1002
Seu Pereira e Coletivo 401,1003
Shawlin,1004
Siba,1005
Siba e Roberto Corrêa,1006
Silvan Galvão,1007
Silvia Machete,1008
Silvério Pessoa,1009
Sine Calmon,1010
Sine Calmon & Morrão Fumegante,1011
Sirano,1012
Sirano & Sirino,1013
Siti Muharam,1014
Sivuca,1015
Skandalous All-Stars,1016
Slim Rimografia,1017
Sobrado 112,1018
Socorro Lira,1019
Solano Jacob,1020
Som Imaginario,1021
Som Nosso De Cada Dia,1022
Som Peba,1023
Sombra,1024
Songorocosongo,1025
Sotam,1026
Sp Funk,1027
Spok Frevo Orquestra,1028
Stevan Pasero & Chamber Nouveau,1029
Stubborn All-Stars,1030
Suja dFato,1031
Suso Vaamonde,1032
Sérgio Sampaio,1033
Síntese,1034
TELEFUNKSOUL,1035
Taiguara,1036
Tainá Costa,1037
Talma & Gadelha,1038
Tarancón,1039
Tarcis,1040
Targino Gondim,1041
Tasha & Tracie,1042
Tassia Reis,1043
Tati Zaqui,1044
Tavinho Moura,1045
Tavito,1046
Tchelo Gomez,1047
Techno Machiny,1048
Teresa Cristina,1049
Terno Rei,1050
Terra Preta,1051
Terra Samba,1052
Teto Preto,1053
Tetê Espíndola,1054
The Adjusters,1055
The Aggrolites,1056
The Bandulus,1057
The Debonaires,1058
The Funk District,1059
The Slackers,1060
The Stingers ATX,1061
Theo de Barros,1062
Thiago Elniño,1063
Thiago França,1064
Thxuzz,1065
Tibério Azul,1066
Tiganá Santana,1067
Tim Bernardes,1068
Timbalada,1069
Tião Carvalho,1070
Toco Preto do Cavaco,1071
Tom Zé,1072
Ton Oliveira,1073
Toni Tornado,1074
Toninho Horta,1075
Toninho de Oxossi,1076
Tono,1077
Tony Boka,1078
Totonho & Oscabra,1079
Totonho E Os Cabra,1080
Trabalhos Espaciais Manuais,1081
Traditionnel,1082
TrapFunk & Alivio,1083
Tribo De Jah,1084
Trilha Sonora do Gueto,1085
Trio Alvorada,1086
Trio Dona Zefa,1087
Trio Forrozão,1088
Trio Madeira Brasil,1089
Trio Mocoto,1090
Trio Mossoro,1091
Trio Nordestino,1092
Trio Potiguá,1093
Trio Pé De Serra,1094
Trio Sabiá,1095
Trio Tekke,1096
Trio Virgulino,1097
Trio Xamego,1098
Trombone de Frutas,1099
Trupe Chá de Boldo,1100
Tulipa Ruiz,1101
Tuyo,1102
Tôco Preto,1103
Ualê Figura,1104
Ulisses Rocha,1105
Underismo,1106
Unidade 76,1107
Unidade Punho Forte,1108
Urias,1109
VELHA GUARDA DA PORTELA,1110
VND,1111
Valesca Popozuda,1112
Vandal,1113
Vander Lee,1114
Vanguart,1115
Ventre,1116
Ventura Profana,1117
Verequete,1118
Versos Que Compomos Na Estrada,1119
Via Jah,1120
Vibrações,1121
Vibronics,1122
Vic Ruggiero,1123
Vicente Nery,1124
Victor Rice,1125
Victor Xamã,1126
Vinícius Barros,1127
Virgilio,1128
Virgínia Rodrigues,1129
Vital Farias,1130
Vitor Araújo,1131
Vivendo do Ócio,1132
Vixe Mainha,1133
Voilaaa,1134
Vovô Bebê,1135
Vírus,1136
Wado,1137
Wado & Realismo Fantástico,1138
Waldir Azevedo,1139
Waldonys,1140
Waldyr Azevedo,1141
Walter Alfaiate,1142
Walter Franco,1143
Wanderley Andrade,1144
Wando,1145
WillsBife,1146
Wilson Das Neves,1147
Wilson Moreira,1148
Wilson Simonal,1149
Wilson Simoninha,1150
Wu Fei,1151
Xangai,1152
Xará,1153
Xaxado Novo,1154
Xil Rios,1155
Xis,1156
Xênia França,1157
YOÙN,1158
Yamandú Costa,1159
Yan Cloud,1160
Ylana,1161
Young Piva,1162
Yuksek,1163
Yung Buda,1164
Yxng Cabral,1165
Z'África Brasil,1166
Zabé da Loca,1167
Ze Neguinho do Coco,1168
Ze Rodrix,1169
Zeca Do Trombone,1170
Ziggy Phunk,1171
Zimbo Trio,1172
Ziminino,1173
Zinho E Banda Girassol,1174
Zito Borborema,1175
Zudizilla,1176
Zé Brown,1177
Zé Cafofinho,1178
Zé Calixto,1179
Zé Da Velha & Silvério Pontes,1180
Zé Keti,1181
Zé Manoel,1182
Zé Miguel Wisnik,1183
Zé Paulo Becker,1184
Zé da Velha,1185
Zélia Duncan,1186
daBossa,1187
duSouto,1188
kolx,1189
nabru,1190
ÀIYÉ,1191
ÀTTØØXXÁ,1192
Áurea Maria,1193
ÃTTÃÃXXÃ,1194
É O Tchan,1195
Ó Do Forró,1196
