label,id
14 Bis,0
A Bolha,1
A Cor Do Som,2
Abdias,3
Abel Ferreira,4
Abilio Farias,5
Academia da Berlinda,6
Acústicos & Valvulados,7
Adair de Freitas,8
Adelino Nascimento,9
Adelmario Coelho,10
Adoniran Barbosa,11
Adriana Calcanhotto,12
Adriana Partimpim,13
Adão Negro,14
Agepê,15
Agnaldo Rayol,16
Agnaldo Timoteo,17
Agostinho Dos Santos,18
Airto Moreira,19
Alaíde Costa,20
Albino Manique,21
Alceu Valença,22
Alcione,23
Alcymar Monteiro,24
Alessandra Leao,25
Allejandro E Forro Duquesa,26
Almir Guineto,27
Almir Sater,28
Almirante,29
Almôndegas,30
Altamiro Carrilho,31
Altemar Dutra,32
Altemar Dutra E Joanna,33
Amado Batista,34
Amazan,35
Amelinha,36
Ana Carolina,37
Ana Cañas,38
Angela Maria,39
Angela Ro Ro,40
Anisio Silva,41
Anjos Do Inferno,42
Antonio Barros,43
Antonio Marcos,44
Antônio Augusto Fagundes,45
Antônio Nóbrega,46
Ara Ketu,47
Aracy de Almeida,48
Arleno Farias,49
Arlindo Cruz,50
Armandinho,51
Arnaldo Antunes,52
Arnaldo Baptista,53
Arriba Saia,54
Arrigo Barnabé,55
Arthur Moreira Lima,56
Arthur Verocai,57
Ary Barroso,58
Ary Lobo,59
Asa De Águia,60
Aspirante,61
Assisão,62
Ataulfo Alves,63
Augusto César,64
Aureliah Milagres,65
Ave Sangria,66
Aviões do Forró,67
Azulão,68
Baden Powell,69
Baiano E Os Novos Caetanos,70
Balaio de Gatos,71
Banda Aquárius,72
Banda Black Rio,73
Banda De Pau E Corda,74
Banda De Pifanos De Caruaru,75
Banda Devagarinho,76
Banda Domínio,77
Banda Eva,78
Banda Líbanos,79
Banda Magníficos,80
Banda Mantiqueira,81
Banda Styllus,82
Bando Da Lua,83
Barros De Alencar,84
Bartô Galeno,85
Batatinha,86
Bebeto,87
Belchior,88
Benedito Lacerda,89
Benito Di Paula,90
Benício Guimarães,91
Berg Rabelo,92
Beth Carvalho,93
Beto Barbosa,94
Beto Guedes,95
Bezerra Da Silva,96
Biafra,97
Bicho de Pé,98
Bidê ou Balde,99
Boca Livre,100
Bonde do Maluco,101
Bossa Jazz Trio,102
Brasas do Forró,103
Brazilian Octopus,104
Bruna Caram,105
Buenas e M'espalho,106
Cabruêra,107
Cachorro Grande,108
Caetano Veloso,109
Caiana,110
Calango Aceso,111
Camerata Carioca,112
Camisa Suada,113
Candeia,114
Canhoto da Paraíba,115
Canindé,116
Capital Do Sol,117
Carlos Cachaca,118
Carlos Galhardo,119
Carlos Gonzaga,120
Carlos Lyra,121
Carlos Malta,122
Carmen Costa,123
Carmen Silva,124
Carta de Baralho,125
Cartola,126
Cartolas,127
Casa Das Máquinas,128
Cascabulho,129
Cassiano,130
Casuarina,131
Cataia,132
Catuaba Com Amendoim,133
Cauby Peixoto,134
Cavaleiros do Forró,135
Cavalo De Pau,136
Caviar Com Rapadura,137
Cazuza,138
Celly Campello,139
Celso Fonseca,140
Cenair Maicá,141
Chama Chuva,142
Cheiro de Amor,143
Chiclete Com Banana,144
Chico Correa & Electronic Band,145
Chico César,146
Chico Di Pessoa,147
Chico Science,148
Chimarruts,149
Chiquinha Gonzaga,150
Choro Das 3,151
Chorões da Pauliceia,152
Cidade Negra,153
Cidadão Instigado,154
Cidadão Quem,155
Circuito Musical,156
Circuladô de Fulô,157
Ciro Monteiro,158
Clara Nunes,159
Claudette Soares,160
Clementina De Jesus,161
Clemilda,162
Clube Do Balanço,163
Cláudio Rabeca,164
Coisa de Zé,165
Comadre Florzinha,166
Conjunto Época de Ouro,167
Cristiano Fantinel,168
Cristiano Quevedo,169
Cristina Amaral,170
Cristina Buarque,171
Curumin,172
Cyro Monteiro,173
Cássia Eller,174
César Oliveira,175
César Passarinho,176
Céu,177
DJ Dolores,178
Dalto,179
Dalva De Oliveira,180
Danger Man,181
Daniela Mercury,182
Danilo Brito,183
Danilo Caymmi,184
Danni Carlos,185
Dante Ramon Ledesma,186
Deborah Blando,187
Desejo De Menina,188
Di Melo,189
