Source,Target
185,551
185,186
185,162
185,33
185,266
185,574
185,342
185,416
185,316
185,527
185,496
185,130
185,366
185,291
185,485
185,190
185,223
185,423
185,229
185,23
551,33
551,162
551,527
551,185
551,316
551,229
551,261
551,342
551,416
551,366
551,371
551,130
551,485
551,325
551,233
551,166
551,190
551,23
551,500
551,496
33,261
33,527
33,551
33,485
33,488
33,233
33,416
33,351
33,573
33,162
33,325
33,355
33,518
33,186
33,185
33,166
33,369
33,371
33,524
33,100
261,260
261,573
261,488
261,527
261,485
261,166
261,518
261,514
261,33
261,325
261,351
261,494
261,341
261,513
261,500
261,233
261,271
261,355
261,369
261,531
260,261
260,573
260,488
260,485
260,341
260,166
260,514
260,518
260,494
260,126
260,325
260,513
260,527
260,500
260,351
260,33
260,531
260,369
260,283
260,233
573,261
573,518
573,485
573,166
573,260
573,513
573,531
573,494
573,325
573,488
573,514
573,94
573,280
573,283
573,127
573,527
573,528
573,445
573,369
573,341
488,261
488,260
488,485
488,573
488,518
488,531
488,33
488,325
488,513
488,233
488,355
488,494
488,524
488,283
488,527
488,525
488,351
488,100
488,514
488,369
527,261
527,325
527,485
527,518
527,33
527,94
527,369
527,233
527,480
527,499
527,355
527,445
527,273
527,166
527,551
527,127
527,214
527,490
527,573
527,149
485,325
485,261
485,166
485,518
485,527
485,573
485,531
485,513
485,369
485,33
485,488
485,94
485,100
485,419
485,445
485,233
485,283
485,515
485,337
485,480
166,325
166,485
166,261
166,527
166,573
166,281
166,369
166,131
166,518
166,419
166,130
166,33
166,233
166,280
166,337
166,94
166,490
166,273
166,500
166,493
518,127
518,513
518,94
518,528
518,445
518,480
518,283
518,55
518,325
518,531
518,144
518,485
518,369
518,526
518,499
518,261
518,573
518,532
518,527
518,373
514,341
514,261
514,573
514,500
514,260
514,494
514,508
514,518
514,334
514,488
514,166
514,351
514,420
514,122
514,126
514,325
514,296
514,485
514,444
514,233
325,485
325,166
325,527
325,518
325,369
325,573
325,261
325,531
325,281
325,94
325,419
325,480
325,445
325,513
325,273
325,280
325,499
325,127
325,110
325,515
351,261
351,33
351,233
351,485
351,114
351,488
351,527
351,182
351,260
351,524
351,573
351,355
351,267
351,551
351,518
351,38
351,514
351,369
351,325
351,495
494,239
494,261
494,573
494,531
494,280
494,166
494,99
494,518
494,513
494,488
494,260
494,325
494,485
494,514
494,545
494,330
494,283
494,341
494,369
494,527
341,514
341,261
341,500
341,260
341,573
341,126
341,313
341,334
341,444
341,508
341,447
341,269
341,166
341,122
341,494
341,488
341,518
341,420
341,283
341,305
513,518
513,531
513,280
513,485
513,127
513,528
513,445
513,144
513,94
513,325
513,283
513,573
513,261
513,373
513,55
513,526
513,369
513,483
513,515
513,499
500,341
500,514
500,261
500,573
500,122
500,166
500,508
500,296
500,387
500,578
500,308
500,133
500,497
500,485
500,551
500,325
500,271
500,342
500,33
500,233
233,261
233,524
233,355
233,527
233,33
233,485
233,488
233,573
233,325
233,369
233,518
233,337
233,166
233,100
233,351
233,445
233,531
233,94
233,513
233,283
271,261
271,527
271,166
271,485
271,325
271,233
271,551
271,500
271,273
271,33
271,573
271,369
271,207
271,399
271,479
271,417
271,550
271,64
271,262
271,337
355,527
355,233
355,261
355,488
355,100
355,518
355,485
355,115
355,325
355,33
355,283
355,524
355,351
355,573
355,369
355,445
355,94
355,166
355,491
355,273
369,94
369,518
369,127
369,445
369,480
369,325
369,485
369,499
369,515
369,283
369,273
369,527
369,100
369,528
369,526
369,513
369,261
369,531
369,214
369,144
531,513
531,280
531,518
531,485
531,283
531,325
531,127
531,573
531,528
531,94
531,261
531,144
531,488
531,526
531,369
531,445
531,373
531,55
531,515
531,499
416,551
416,186
416,33
416,162
416,371
416,138
416,527
416,316
416,185
416,266
416,261
416,182
416,560
416,114
416,165
416,233
416,459
416,336
416,229
416,485
186,416
186,266
186,551
186,185
186,316
186,33
186,371
186,113
186,162
186,366
186,54
186,229
186,23
186,527
186,407
186,28
186,327
186,311
186,546
186,374
162,574
162,371
162,319
162,551
162,496
162,459
162,291
162,216
162,253
162,185
162,33
162,517
162,136
162,316
162,138
162,476
162,158
162,327
162,208
162,357
371,84
371,162
371,336
371,53
371,198
371,138
371,382
371,459
371,253
371,496
371,322
371,574
371,319
371,429
371,416
371,291
371,551
371,357
371,560
371,186
138,371
138,162
138,416
138,560
138,551
138,442
138,336
138,182
138,33
138,114
138,201
138,322
138,459
138,253
138,185
138,316
138,527
138,216
138,53
138,496
316,551
316,229
316,366
316,113
316,162
316,186
316,185
316,371
316,407
316,416
316,289
316,23
316,33
316,92
316,333
316,527
316,553
316,377
316,28
316,86
266,117
266,186
266,1
266,181
266,429
266,366
266,311
266,3
266,324
266,185
266,101
266,359
266,553
266,428
266,551
266,23
266,579
266,316
266,157
266,384
182,14
182,114
182,35
182,267
182,584
182,351
182,138
182,33
182,322
182,233
182,261
182,416
182,442
182,527
182,20
182,38
182,299
182,371
182,551
182,15
560,52
560,91
560,564
560,36
560,162
560,371
560,527
560,138
560,216
560,551
560,158
560,510
560,33
560,459
560,16
560,316
560,416
560,379
560,185
560,146
114,14
114,182
114,267
114,322
114,35
114,33
114,351
114,138
114,584
114,177
114,416
114,261
114,233
114,442
114,15
114,20
114,527
114,551
114,120
114,371
165,416
165,185
165,33
165,527
165,551
165,186
165,162
165,371
165,316
165,524
165,266
165,496
165,5
165,583
165,342
165,415
165,366
