label,id
24 Carat Black,0
2Baba,1
6ix Toys,2
9ice,3
Abafana Bama Soul,4
Abayomy Afrobeat Orquestra,5
Abbush Zallaqaa,6
Abdu Kiar,7
Abinet Agonafir,8
Abner Jay,9
Afel Bocoum,10
African Jazz Pioneers,11
Afro Latin Vintage Orchestra,12
AfroCubism,13
Afrodizz,14
Aiff,15
Akalé Wubé,16
Al Green,17
Alan Lomax,18
Albert Ayler,19
Albino!,20
Alemayehu Eshete,21
Alemu Aga,22
Ali Farka Touré,23
Ali Mohammed Birra,24
Alice Coltrane,25
Alice Russell,26
Allen Toussaint,27
Amadou & Mariam,28
Amanaz,29
Andrew Hill,30
Ann Peebles,31
Anthony Braxton,32
Antibalas,33
Antoine Dougbé,34
Aphrodesia,35
Arat Kilo,36
Archie Shepp,37
Ariya Astrobeat Arkestra,38
Art Blakey & The Jazz Messengers,39
Art Ensemble Of Chicago,40
Arthur Russell,41
Arthur Verocai,42
Asfaw Kebbebe,43
Asnaqètch Wèrqu,44
Assagai,45
Aster Aweke,46
Ata Kak,47
Average White Band,48
Ayalew Mesfin,49
Ayub Ogada,50
B.T. Express,51
BCUC,52
BLO,53
Baaba Maal,54
Baby Charles,55
Baby Huey & The Baby Sitters,56
Bahta Gebre-Heywet,57
Bala Miller,58
Ballaké Sissoko,59
Ballaké Sissoko & Vincent Segal,60
Bassekou Kouyate,61
Bembeya Jazz National,62
Bennie Maupin,63
Berry Sakharof,64
Bert Jansch,65
Betty Davis,66
Beverly Glenn-Copeland,67
Beyene Habte,68
Bezuayehu Demissie,69
Bezuayene Zegeye,70
Bezunesh Bekele,71
Bill Withers,72
Billy Preston,73
Bixiga 70,74
Black Flower,75
Black Heat,76
Black Market Brass,77
Blind Willie Johnson,78
Blind Willie McTell,79
Bobbi Humphrey,80
Bobby Byrd,81
Bobby Hutcherson,82
Bobby Womack,83
Bola Johnson,84
Bombino,85
Bonga,86
Bongos Ikwue,87
"Bonnie ""Prince"" Billy",88
Booker T. & the M.G.'s,89
Bootsy Collins,90
Bosq,91
Boubacar Traoré,92
Brass Construction,93
Breakestra,94
Brenda Fassie,95
Brick,96
Bridget St John,97
Broadcast,98
Bronx River Parkway,99
Brownout,100
Brymo,101
Buddy Miles,102
Bunzu Sounds,103
Busi Mhlongo,104
Bzunesh Beqele,105
Caiphus Semenya,106
Carla dal Forno,107
Cate le Bon,108
Cecil Taylor,109
Charles Bradley,110
Charles Mingus,111
Charles Wright & The Watts 103rd Street Rhythm Band,112
Cheikh Lô,113
Chicago Afrobeat Project,114
Chico Mann,115
Chief Checker,116
Chief Stephen Osita Osadebe,117
Chip Wickham,118
Chocolate Milk,119
Chopteeth Afrofunk Big Band,120
Christy Azuma & Uppers International,121
Clutchy Hopkins,122
Collocutor,123
Colomach,124
Connie Converse,125
Connie Price & The Keystones,126
Cookin' On 3 Burners,127
Cortex,128
Curtis Mayfield,129
Cymande,130
Darondo,131
Dave Van Ronk,132
David Axelrod,133
Dawit Mellesse,134
Dawit Tsige,135
De Frank Professionals,136
Dean Blunt,137
Dele Sosimi,138
Dennis Coffey,139
Deodato,140
Dexter Gordon,141
Dexter Wansel,142
Dick Khoza,143
Diplomats of Solid Sound,144
Djelimady Tounkara,145
DjeuhDjoah,146
Dobet Gnahoré,147
Dock Boggs,148
Dojo Cuts,149
Domenique Dumont,150
Don Cherry,151
Donald Byrd,152
Donny Hathaway,153
Dorothy Ashby,154
Dr Rubberfunk,155
Dr. John,156
Duncan Mighty,157
Dur-Dur Band,158
Dyke & The Blazers,159
Dynamic Africana,160
ESG,161
Ebo Taylor,162
Eddie Hazel,163
Eddie Kendricks,164
Egypt 80,165
El Michels Affair,166
Elizabeth Cotten,167
Elizabeth Cotten and Brenda Evans,168
Elvin Jones,169
Emahoy Tsegué-Maryam Guébrou,170
Ephrem Tamiru,171
Eric Dolphy,172
Ethioda,173
Etoile De Dakar,174
Etran Finatawa,175
Etta Baker,176
