Source,Target
525,1314
525,645
525,218
525,768
525,972
525,505
525,660
525,885
525,445
525,276
525,1204
525,903
525,618
525,539
525,396
525,251
525,129
525,436
525,787
525,957
1314,618
1314,972
1314,1204
1314,367
1314,598
1314,1262
1314,647
1314,768
1314,1011
1314,445
1314,903
1314,645
1314,1402
1314,396
1314,1420
1314,525
1314,276
1314,451
1314,129
1314,101
618,598
618,1262
618,1402
618,647
618,1314
618,903
618,768
618,367
618,631
618,101
618,396
618,938
618,888
618,77
618,1420
618,255
618,451
618,582
618,445
618,574
598,618
598,1262
598,1402
598,647
598,631
598,77
598,1314
598,768
598,1010
598,103
598,903
598,101
598,367
598,1423
598,294
598,445
598,396
598,888
598,973
598,769
1262,1402
1262,618
1262,598
1262,647
1262,101
1262,419
1262,155
1262,133
1262,1314
1262,631
1262,1204
1262,451
1262,122
1262,1170
1262,903
1262,972
1262,441
1262,1423
1262,1420
1262,77
1402,1262
1402,101
1402,1170
1402,618
1402,978
1402,103
1402,647
1402,133
1402,419
1402,122
1402,598
1402,1010
1402,1314
1402,1238
1402,1435
1402,1162
1402,903
1402,1423
1402,1204
1402,1182
101,1402
101,1170
101,978
101,1262
101,122
101,1204
101,252
101,1239
101,103
101,618
101,636
101,1011
101,1384
101,1162
101,133
101,1238
101,1314
101,647
101,155
101,972
1170,1402
1170,101
1170,1262
1170,978
1170,122
1170,424
1170,1239
1170,133
1170,1007
1170,252
1170,1384
1170,980
1170,636
1170,419
1170,1238
1170,1435
1170,451
1170,647
1170,1162
1170,618
978,1239
978,252
978,1402
978,1238
978,8
978,636
978,1384
978,101
978,1170
978,793
978,1182
978,122
978,103
978,179
978,10
978,1435
978,1001
978,133
978,1262
978,168
1239,978
1239,7
1239,8
1239,907
1239,252
1239,80
1239,636
1239,1238
1239,179
1239,1384
1239,1185
1239,1402
1239,793
1239,101
1239,122
1239,1170
1239,141
1239,1001
1239,775
1239,103
252,978
252,793
252,1239
252,1384
252,636
252,8
252,101
252,1402
252,263
252,1170
252,122
252,224
252,1163
252,1238
252,537
252,179
252,814
252,678
252,183
252,1204
1238,978
1238,1402
1238,1239
1238,101
1238,1170
1238,8
1238,1001
1238,122
1238,252
1238,775
1238,821
1238,103
1238,1384
1238,636
1238,1262
1238,1435
1238,202
1238,1162
1238,647
1238,133
8,978
8,1239
8,252
8,7
8,1238
8,179
8,907
8,793
8,636
8,122
8,1384
8,1402
8,1185
8,80
8,101
8,1170
8,736
8,1001
8,141
8,263
636,793
636,978
636,252
636,1384
636,1239
636,537
636,101
636,1402
636,8
636,224
636,263
636,1170
636,1083
636,1010
636,122
636,1007
636,183
636,814
636,1163
636,1238
1384,252
1384,978
1384,636
1384,1239
1384,1077
1384,471
1384,101
1384,793
1384,1170
1384,1402
1384,537
1384,8
1384,224
1384,1238
1384,179
1384,874
1384,263
1384,122
1384,1083
1384,1015
793,252
793,636
793,537
793,263
793,978
793,224
793,1239
793,1384
793,908
793,8
793,907
793,814
793,7
793,1369
793,179
793,101
793,183
793,1015
793,1170
793,1083
1182,168
1182,1402
1182,419
1182,978
1182,1132
1182,1435
1182,10
1182,191
1182,441
1182,1423
1182,1047
1182,1264
1182,442
1182,1262
1182,133
1182,1070
1182,903
1182,518
1182,1275
1182,700
122,1402
122,101
122,1170
122,978
122,1262
122,294
122,775
122,252
122,133
122,647
122,618
122,1238
122,903
122,419
122,1314
122,972
122,1239
122,911
122,8
122,1162
103,1402
103,101
103,618
103,598
103,122
103,1010
103,1262
103,978
103,647
103,1238
103,1162
103,1314
103,574
103,1170
