label,id
14 Bis,0
3 Na Bossa,1
3 Na Massa,2
3 Sonic,3
5 a Seco,4
A Banda Mais Bonita da Cidade,5
A Barca,6
A Barca Do Sol,7
A Bolha,8
A Chave do Sol,9
A Cor Do Som,10
A. Carlos Jobim,11
Abayomy Afrobeat Orquestra,12
Abel Carlevaro,13
Abel E Caim,14
Abel Ferreira,15
Abel Ferreira E Seu Conjunto,16
Aca Seca Trio,17
Academia da Berlinda,18
Adauto Santos,19
Adoniran Barbosa,20
Adriana Calcanhotto,21
Adriana Maciel,22
Adriana Partimpim,23
Agepê,24
Agnaldo Timoteo,25
Agostinho Dos Santos,26
Aildo do pandeiro,27
Airto Moreira,28
Al Caiola,29
Al Cohn,30
Alan e Aladim,31
Alaíde Costa,32
Alceu Valença,33
Alcione,34
Aldo Parisot,35
Alessandra Leao,36
Alessandro Penezzi,37
Alex Buck,38
Alexandre Andrés,39
Alexandre Grooves,40
Alexia Bomtempo,41
Alice Passos,42
Aline Calixto,43
Aline Music,44
Alirio Díaz,45
Almir Côrtes,46
Almir Guineto,47
Almir Sater,48
Almirante,49
Almério,50
Almôndegas,51
Altamiro Carrilho,52
Altemar Dutra,53
Altemar Dutra E Joanna,54
Alvarenga & Ranchinho,55
Alzira E,56
Alzira Espíndola,57
Amado Batista,58
Amanajé,59
Amelinha,60
Ana Caram,61
Ana Carolina,62
Ana Cañas,63
Ana Costa,64
Ana Larousse,65
Ana Mazzotti,66
Ana Paula Lopes,67
Ana Salvagni,68
Andre Marques,69
Andreia Dias,70
Andrew York,71
André Abujamra,72
André Mehmari,73
André Renato,74
Anelis Assumpção,75
Angela Maria,76
Angela Ro Ro,77
Aniceto Do Imperio,78
Anisio Silva,79
Anjo Gabriel,80
Anjos Do Inferno,81
Anna Luisa,82
Anna Ratto,83
Anna Setton,84
Anna Toledo,85
Antonia Adnet,86
Antonio Carlos & Jocafi,87
Antonio Jobim,88
Antonio Marcos,89
Antônio Carlos Jobim,90
Antônio Nóbrega,91
Apanhador Só,92
Ara Ketu,93
Aracy de Almeida,94
Argemiro Patrocinio,95
Arismar Do Espírito Santo,96
Arleno Farias,97
Arlindo Cruz,98
