Source,Target
527,273
527,452
527,908
527,439
527,386
527,966
527,615
527,640
527,327
527,130
527,963
527,126
527,915
527,400
527,382
527,208
527,22
527,581
527,17
527,218
273,527
273,452
273,908
273,439
273,615
273,966
273,386
273,476
273,915
273,529
273,400
273,304
273,208
273,836
273,901
273,639
273,315
273,285
273,218
273,412
452,966
452,639
452,439
452,447
452,273
452,311
452,992
452,433
452,757
452,285
452,310
452,836
452,312
452,527
452,615
452,853
452,463
452,97
452,953
452,529
966,452
966,310
966,311
966,757
966,312
966,273
966,386
966,953
966,615
966,293
966,68
966,439
966,527
966,836
966,595
966,463
966,433
966,447
966,6
966,808
310,966
310,452
310,311
310,757
310,312
310,953
310,293
310,433
310,447
310,853
310,386
310,836
310,439
310,388
310,68
310,615
310,97
310,808
310,595
310,527
311,312
311,966
311,310
311,293
311,386
311,97
311,452
311,808
311,757
311,126
311,853
311,135
311,146
311,782
311,68
311,953
311,615
311,388
311,107
311,273
312,311
312,966
312,310
312,97
312,293
312,386
312,853
312,452
312,146
312,808
312,757
312,126
312,135
312,953
312,68
312,447
312,782
312,615
312,388
312,433
97,953
97,853
97,311
97,293
97,91
97,312
97,803
97,463
97,447
97,77
97,654
97,966
97,823
97,452
97,615
97,655
97,963
97,433
97,882
97,808
293,953
293,853
293,615
293,966
293,808
293,126
293,311
293,97
293,135
293,715
293,310
293,447
293,312
293,463
293,91
293,452
293,731
293,386
293,6
293,433
386,208
386,966
386,327
386,126
386,304
386,311
386,400
386,693
386,615
386,273
386,924
386,29
386,312
386,135
386,146
386,476
386,529
386,644
386,527
386,823
853,953
853,447
853,433
853,463
853,77
853,293
853,126
853,97
853,882
853,452
853,823
853,319
853,91
853,803
853,615
853,655
853,311
853,966
853,963
853,60
146,135
146,0
146,6
146,247
146,808
146,889
146,855
146,400
146,342
146,311
146,408
146,571
146,434
146,539
146,312
146,693
146,476
146,498
146,615
146,242
808,135
808,953
808,293
808,661
808,782
808,977
808,6
808,146
808,311
808,966
808,715
808,855
808,312
808,853
808,97
808,731
808,615
808,388
808,863
808,498
757,966
757,310
757,452
757,311
757,312
757,439
757,836
757,447
757,273
757,68
757,433
757,285
757,615
757,146
757,953
757,293
757,97
757,595
757,718
757,388
126,823
126,853
126,655
126,135
126,615
126,386
126,882
126,327
126,447
126,319
126,693
126,460
126,604
126,682
126,400
126,963
126,529
126,208
126,184
126,293
135,146
135,0
135,6
135,808
135,855
135,408
135,604
135,126
135,342
135,400
135,539
135,615
135,327
135,715
135,693
135,52
135,782
135,242
135,731
135,388
953,853
953,77
953,803
953,447
953,661
953,78
953,463
953,97
953,293
953,91
953,433
953,681
953,882
953,841
953,977
953,800
953,615
953,966
953,823
953,808
68,832
68,966
68,452
68,108
68,595
68,311
68,845
68,228
68,107
68,312
68,778
68,310
68,757
68,158
68,513
68,226
68,485
68,186
68,439
68,544
447,433
447,853
447,953
447,463
447,882
447,615
447,529
447,257
447,452
447,77
447,285
447,639
447,606
447,60
447,963
447,188
447,319
447,423
447,315
447,420
782,802
782,135
782,40
782,808
782,715
782,311
782,327
782,966
782,146
782,130
782,729
782,386
782,293
782,0
782,52
782,990
782,126
782,45
782,388
782,615
615,447
615,963
615,655
615,452
615,715
615,529
615,966
615,731
615,273
615,6
615,953
615,293
615,463
615,135
615,126
615,882
615,853
615,208
615,439
615,319
388,126
388,452
388,615
388,311
388,146
388,135
388,386
388,823
388,715
388,963
388,953
388,853
388,651
388,400
388,447
388,285
388,312
388,529
388,184
388,855
433,447
433,853
433,953
433,463
433,452
433,60
433,882
433,529
433,681
433,78
433,615
433,77
433,257
433,966
433,214
433,315
433,285
433,606
433,656
433,530
107,941
107,68
107,311
107,108
107,966
107,755
107,312
107,780
107,310
107,757
107,239
107,293
107,452
107,595
107,863
107,862
107,228
107,711
107,859
107,836
941,107
941,966
941,311
941,312
941,310
941,755
941,68
941,452
941,362
941,293
941,757
941,711
941,259
941,239
941,808
941,487
941,371
941,780
941,595
941,865
108,513
108,68
108,279
108,973
108,107
108,595
108,452
108,228
108,226
108,966
108,755
108,2
108,438
108,239
108,832
108,757
108,186
108,158
108,697
108,845
755,546
755,107
755,966
755,68
755,595
755,239
755,757
755,452
755,311
755,756
755,778
755,836
755,228
755,751
755,91
755,310
755,630
755,463
755,108
755,312
780,410
780,361
780,282
780,656
780,247
780,889
780,146
780,331
780,489
780,412
780,505
780,966
780,971
780,940
780,718
780,476
780,627
780,325
780,993
780,757
239,595
239,966
239,778
239,452
239,513
239,158
239,68
239,34
239,447
239,853
239,228
239,485
239,463
239,953
239,433
239,91
239,311
239,600
239,293
239,97
595,228
595,158
595,621
595,670
595,12
595,207
595,552
595,214
595,485
595,186
595,535
595,634
595,34
595,832
595,778
595,341
595,724
595,241
595,68
595,612
863,862
863,711
863,135
863,146
863,331
863,808
863,919
863,0
863,674
863,498
863,6
863,242
863,408
863,342
863,977
863,542
863,855
863,107
863,222
863,539
862,863
862,946
862,435
862,872
862,716
862,838
862,638
862,711
862,233
862,107
862,219
862,374
862,780
862,674
862,418
862,410
862,584
862,232
862,993
862,713
228,595
228,158
228,34
228,778
228,485
228,670
228,207
228,621
228,12
228,241
228,341
228,535
228,492
228,186
228,214
228,832
228,724
228,552
228,634
228,226
711,135
711,863
711,146
711,712
711,311
711,808
711,782
711,966
711,342
711,780
711,0
711,386
711,312
711,924
711,802
711,693
711,498
711,862
711,126
711,310
859,405
859,311
859,107
859,966
859,259
859,310
859,312
859,711
859,452
859,146
859,780
859,808
859,757
859,68
859,388
859,293
859,135
859,868
859,433
859,239
836,452
836,718
836,420
836,606
836,410
836,412
836,966
836,805
836,757
836,751
836,889
836,273
836,440
836,447
836,971
836,439
836,742
836,295
836,302
836,476
439,639
439,452
439,992
439,651
439,641
439,684
439,273
439,166
439,223
439,742
439,313
439,447
439,285
439,963
439,707
439,615
439,616
439,444
439,923
439,527
639,641
639,313
639,444
639,651
639,923
639,992
639,166
639,616
639,684
639,798
639,223
639,707
639,88
639,278
639,70
639,17
639,669
639,742
639,38
639,652
641,639
641,313
641,444
641,923
641,616
641,88
641,798
641,992
641,651
641,669
641,166
641,278
641,652
641,70
641,684
641,961
641,237
641,223
641,613
641,38
313,641
313,639
313,444
313,923
313,798
313,992
313,235
313,88
313,237
313,278
313,175
313,616
313,669
313,637
313,166
313,961
313,652
313,70
313,952
313,431
444,641
444,639
444,88
444,669
444,313
444,237
444,992
444,70
444,798
444,616
444,923
444,652
444,363
444,166
444,651
444,38
444,278
444,464
444,799
444,640
651,639
651,669
651,641
651,88
651,992
651,444
651,313
651,70
651,742
651,923
651,640
651,17
651,707
651,616
651,363
651,684
651,270
651,184
651,963
651,237
923,641
923,313
923,639
923,444
923,798
923,616
923,992
923,166
923,651
923,961
923,278
923,88
923,652
923,223
923,237
923,684
923,669
923,707
923,38
923,70
992,639
992,444
992,641
992,88
992,313
992,651
992,70
992,923
992,616
992,669
992,237
992,798
992,166
992,124
992,223
992,707
992,439
992,742
992,684
992,363
166,639
166,641
166,313
166,798
166,923
166,444
166,38
166,684
166,992
166,616
166,278
166,651
166,223
166,133
166,707
166,961
166,652
166,88
166,613
166,581
616,639
616,444
616,641
616,88
616,313
616,798
616,923
616,166
616,992
616,70
616,651
616,237
616,669
616,652
616,38
616,684
616,961
616,363
616,278
616,464
684,639
684,963
684,641
684,38
684,166
684,17
684,225
684,133
684,444
684,798
684,313
684,651
684,278
684,136
684,923
684,616
684,125
684,581
684,707
684,992
798,313
798,641
798,444
798,639
798,923
798,166
798,278
798,616
798,652
798,684
798,88
798,38
798,992
798,961
798,613
798,133
798,637
798,235
798,223
798,189
223,639
223,923
223,313
223,641
223,444
223,992
223,166
223,278
223,70
223,798
223,651
223,742
223,961
223,684
223,218
223,707
223,616
223,315
223,38
223,439
707,639
707,641
707,651
707,923
707,684
707,313
707,17
707,742
707,992
707,218
707,166
707,963
707,581
707,133
707,278
707,444
707,315
707,184
707,798
707,285
88,444
88,669
88,70
88,237
88,641
88,639
88,992
88,616
88,313
88,363
88,651
88,464
88,798
88,652
88,923
88,270
88,799
88,961
88,166
88,223
278,639
278,641
278,38
278,313
278,798
278,133
278,923
278,166
278,444
278,684
278,581
278,288
278,218
278,189
278,223
278,266
278,961
278,22
278,652
278,992
70,669
70,237
70,88
70,363
70,444
70,270
70,639
70,641
70,992
70,616
70,464
70,651
70,313
70,243
70,178
70,537
70,923
70,652
70,831
70,223
17,639
17,651
17,963
17,684
17,184
17,641
17,133
17,707
17,136
17,581
17,218
17,315
17,444
17,529
17,166
17,616
17,992
17,640
17,278
17,742
669,70
669,237
669,363
669,88
669,444
669,639
669,651
669,313
669,641
669,464
669,270
669,992
669,831
669,616
669,652
669,640
669,178
669,243
669,799
669,82
742,639
742,651
742,440
742,43
742,949
742,641
742,412
742,992
742,313
742,718
742,285
742,265
742,669
742,444
742,707
742,166
742,223
742,923
742,70
742,10
38,288
38,22
38,133
38,278
38,798
38,639
38,166
38,979
38,266
38,684
38,581
38,376
38,444
38,641
38,459
38,130
38,313
38,403
38,31
38,136
652,444
652,641
652,639
652,798
652,313
652,669
652,88
652,616
652,923
652,166
652,640
652,684
652,38
652,992
652,799
652,22
652,278
652,70
652,581
652,613
285,639
285,82
285,309
285,742
285,651
285,476
285,529
285,447
285,992
285,707
285,315
285,282
285,452
285,605
285,606
285,96
285,439
285,223
285,615
285,641
82,270
82,669
82,285
82,651
82,309
82,639
82,457
82,88
82,70
82,742
82,363
82,260
82,313
82,444
82,992
82,237
82,852
82,282
82,605
82,718
309,270
309,285
309,669
309,70
309,605
309,260
309,639
309,457
309,192
309,651
309,315
309,444
309,282
309,742
309,243
309,992
309,223
309,313
309,443
309,82
476,282
476,285
476,889
476,529
476,434
476,412
476,400
476,615
476,247
476,627
476,447
476,707
476,505
476,317
476,146
476,971
476,96
476,410
476,606
476,295
529,315
529,963
529,447
529,639
529,615
529,579
529,285
529,707
529,476
529,400
529,882
529,60
529,184
529,433
529,684
529,208
529,218
529,17
529,460
529,463
315,529
315,218
315,579
315,60
315,963
315,447
315,285
315,882
315,208
315,639
315,644
315,184
315,377
315,309
315,567
315,240
315,223
315,707
315,866
315,433
282,361
282,247
282,804
282,457
282,605
282,505
282,476
282,889
282,475
282,627
282,434
282,508
282,750
282,982
282,295
282,285
282,626
282,478
282,309
282,780
605,457
605,563
605,804
605,750
605,850
605,505
605,282
605,361
605,676
605,475
605,180
605,478
605,260
605,631
605,734
605,508
605,982
605,521
605,285
605,627
606,420
606,718
606,805
606,982
606,447
606,889
606,751
