label,id
14 Bis,0
3 Na Massa,1
A Barca,2
A Barca Do Sol,3
A Bolha,4
A Comunidade Samba Da Vela,5
A Cor Do Som,6
A Zorra,7
A.S2,8
Abdias,9
Abel Ferreira,10
Abilio Farias,11
Academia da Berlinda,12
Adauto Santos,13
Adelino Nascimento,14
Adelmario Coelho,15
Ademilde Fonseca,16
Adoniran Barbosa,17
Adriana Calcanhotto,18
Adriana Maciel,19
Adriana Partimpim,20
Adão Negro,21
Agepê,22
Agnaldo Rayol,23
Agnaldo Timoteo,24
Agostinho Dos Santos,25
Airto Moreira,26
Alavontê,27
Alcalyno,28
Alceu Valença,29
Alcides Gerardi,30
Alcione,31
Alcymar Monteiro,32
Aldir Blanc,33
Alessandra Leao,34
Alexandre Peixe,35
Aline Calixto,36
Alma Djem,37
Almir Guineto,38
Almir Rouche,39
Almir Sater,40
Almirante,41
Aloíso Gomes,42
Altamiro Carrilho,43
Altamiro Carrilho e Seu Conjunto,44
Altemar Dutra,45
Altemar Dutra E Joanna,46
Alzira E,47
Alzira Espíndola,48
Amado Batista,49
Amanda Ferrari,50
Amazan,51
Amelinha,52
Ana Bernardo,53
Ana Carolina,54
Ana Cañas,55
Ana Costa,56
Anastácia,57
André Lellis,58
Angela Maria,59
Angela Ro Ro,60
Aniceto Do Imperio,61
Anisio Silva,62
Anjo Gabriel,63
Anjos Do Inferno,64
Anna Luisa,65
Antonio Barros,66
Antonio Marcos,67
Antônio Nóbrega,68
Ara Ketu,69
Aracy de Almeida,70
Argemiro Patrocinio,71
Arleno Farias,72
Arlindo Cruz,73
Arlindo Cruz & Sombrinha,74
Armandinho,75
Arnaldo Antunes,76
Arnaldo Baptista,77
Arrigo Barnabé,78
Art Popular,79
Arthur Moreira Lima,80
Arthur Verocai,81
Ary Barroso,82
Ary Lobo,83
As Meninas,84
Asa De Águia,85
Aspirante,86
Assisão,87
Ataulfo Alves,88
Ataulfo Alves e suas Pastoras,89
Aureliah Milagres,90
Ave Sangria,91
Avine Vinny,92
Aviões do Forró,93
Azulão,94
Babado Novo,95
Baden Powell,96
Baiano E Os Novos Caetanos,97
Baião D4 / Rastapé,98
Bamdamel,99
Banda 365,100
Banda A Loba,101
Banda Aquárius,102
Banda Bastião,103
Banda Beijo,104
Banda Black Rio,105
Banda Calypso,106
Banda De Pau E Corda,107
Banda De Pifanos De Caruaru,108
Banda Devagarinho,109
Banda Encantu's,110
Banda Eva,111
Banda Garota Safada,112
Banda Líbanos,113
Banda Magníficos,114
Banda Mel,115
Banda Styllus,116
Banda-Fôrra,117
Bando Da Lua,118
Bando De Macambira,119
Bango,120
Bartô Galeno,121
Barão Vermelho,122
Bastinho Calixto,123
Batatinha,124
Bebeto,125
Belchior,126
Bell Marques,127
Belo,128
Belô Velloso,129
Benito Di Paula,130
Benício Guimarães,131
Bernadete França,132
Beth Carvalho,133
Beto Barbosa,134
Beto Guedes,135
Bezerra Da Silva,136
Biafra,137
Bicho de Pé,138
Big Up,139
Biquini Cavadão,140
Bixo Da Seda,141
Black,142
Black do acordeon,143
Blecaute,144
Blues Etílicos,145
Boca Livre,146
Bokaloka,147
Bom Gosto,148
Bonde do Forró,149
Bonde do Maluco,150
Bonde do Tigrão,151
Bossa Jazz Trio,152
Brasas do Forró,153
Brazilian Octopus,154
Breno & Caio Cesar,155
Bruna Caram,156
Bárbara Eugênia,157
Cabruêra,158
Caburé,159
Cacau Com Leite,160
Caetano Veloso,161
Caiana,162
Calango Aceso,163
Calcinha Preta,164
Camisa de Vênus,165
Candeia,166
Cangaia de Jegue,167
Canindé,168
Canários do Reino,169
Capital Do Sol,170
Capital Inicial,171
Carlim Alves,172
Carlinhos Brown,173
Carlinhos Vergueiro,174
Carlos Cachaca,175
Carlos Careqa,176
Carlos Dafé,177
Carlos Galhardo,178
Carlos Gonzaga,179
Carlos Lyra,180
Carlos Malta,181
Carmen Costa,182
Carmen Miranda,183
Cartola,184
Casa Das Máquinas,185
Cascabulho,186
Casquinha da Portela,187
Cassiano,188
Casuarina,189
Cataia,190
Catuaba Com Amendoim,191
Cauby Peixoto,192
Cavaleiros do Forró,193
Cavalo De Pau,194
Caviar Com Rapadura,195
Cazuza,196
Celly Campello,197
Celso Blues Boy,198
Chama Chuva,199
Charlie Brown Jr.,200
Cheiro de Amor,201
Chicabana,202
Chicas,203
Chiclete Com Banana,204
Chico Aguiar,205
Chico Buarque,206
Chico Correa & Electronic Band,207
Chico César,208
