Source,Target
673,940
673,90
673,406
673,45
673,760
673,457
673,536
673,507
673,431
673,512
673,879
673,736
673,890
673,291
673,364
673,409
673,859
673,166
673,869
673,946
940,431
940,778
940,90
940,406
940,507
940,45
940,673
940,291
940,364
940,208
940,879
940,536
940,736
940,379
940,760
940,290
940,859
940,368
940,890
940,158
431,158
431,481
431,290
431,859
431,507
431,672
431,951
431,518
431,602
431,361
431,384
431,166
431,940
431,391
431,678
431,79
431,595
431,885
431,531
431,709
158,290
158,431
158,481
158,602
158,672
158,859
158,361
158,678
158,951
158,391
158,950
158,384
158,764
158,518
158,166
158,796
158,595
158,753
158,709
158,745
290,481
290,595
290,672
290,531
290,285
290,859
290,154
290,495
290,631
290,166
290,585
290,221
290,374
290,524
290,796
290,158
290,174
290,930
290,105
290,344
481,595
481,290
481,672
481,495
481,796
481,531
481,631
481,285
481,154
481,585
481,453
481,391
481,256
481,374
481,221
481,602
481,173
481,930
481,745
481,344
602,481
602,41
602,158
602,796
602,859
602,290
602,672
602,524
602,605
602,746
602,166
602,951
602,495
602,886
602,755
602,361
602,603
602,221
602,885
602,595
672,481
672,595
672,290
672,531
672,631
672,796
672,495
672,374
672,585
672,256
672,453
672,285
672,461
672,384
672,267
672,391
672,745
672,221
672,344
672,482
859,166
859,885
859,886
859,951
859,49
859,290
859,221
859,375
859,772
859,746
859,620
859,524
859,476
859,481
859,890
859,630
859,76
859,602
859,495
859,672
361,481
361,290
361,158
361,672
361,431
361,602
361,678
361,868
361,391
361,382
361,209
361,477
361,753
361,796
361,273
361,595
361,384
361,709
361,859
361,495
678,177
678,950
678,897
678,868
678,782
678,799
678,158
678,709
678,213
678,361
678,764
678,602
678,781
678,949
678,384
678,76
678,431
678,809
678,659
678,752
951,746
951,630
951,859
951,885
951,76
951,886
951,49
951,745
951,375
951,221
951,772
951,166
951,495
951,476
951,672
951,602
951,481
951,942
951,755
951,518
391,481
391,595
391,290
391,672
391,631
391,796
391,531
391,285
391,158
391,256
391,585
391,602
391,382
391,361
391,930
391,431
391,344
391,495
391,507
391,105
950,782
950,781
950,678
950,710
950,897
950,213
950,48
950,752
950,868
950,76
950,809
950,709
950,764
950,799
950,177
950,659
950,158
950,675
950,602
950,630
384,672
384,481
384,461
384,267
384,595
384,158
384,290
384,753
384,273
384,531
384,796
384,431
384,477
384,745
384,361
384,602
384,449
384,256
384,631
384,344
764,950
764,782
764,868
764,213
764,752
764,158
764,709
764,678
764,753
764,602
764,885
764,48
764,693
