label,id
107 Faunos,0
1280 Almas,1
31 Minutos,2
Abel Pintos,3
Abel Soria,4
"Abel Velásquez ""El Mago""",5
Abel ivroud,6
Abuela Coca,7
Aca Seca Trio,8
Adolfo Abalos,9
Adriana Lucia,10
Adriana Varela,11
Adrián Iaies,12
Adrián Otero,13
Afrosound,14
Agarrate Catalina,15
Agua Mojada,16
Agustín Lara,17
Aida Cuevas,18
Ainda,19
Al Bano,20
Alberto Castillo,21
Alberto Cortez,22
Alberto Magnone,23
Alberto Merlo,24
Alberto Plaza,25
Alberto Rojo,26
Alberto Wolf,27
Alci Acosta,28
Alejandro Balbis,29
Alejandro Filio,30
Alejandro Lerner,31
Alejandro Luzardo,32
Alejandro Santiago,33
Alejandro Sanz,34
Alerta Kamarada,35
Alex Ubago,36
Alexander Acha,37
Alfonsina,38
Alfonso Maya,39
Alfredo Abalos,40
Alfredo Casero,41
Alfredo De Angelis,42
Alfredo De Angelis Y Su Orquesta,43
Alfredo Gutierrez,44
Alfredo Zitarrosa,45
Algodón,46
Alma Salteña,47
Alma Y Vida,48
Almendra,49
Alvaro Henriquez,50
Alvaro Torres,51
Amalia de la Vega,52
Amanda Miguel,53
Amar Azul,54
Amaury Gutiérrez,55
Amaury Pérez,56
Amaya duo Joan Manuel Serrat,57
Amelita Baltar,58
Amerindios,59
Amparo Ochoa,60
Ana Belén,61
Ana Prada,62
Ana Y Jaime,63
Andrés Calamaro,64
Andrés Cepeda,65
Angel Parra,66
Angel Parra Trio,67
Angela Carrasco,68
Anibal Velasquez,69
Antonio Tarrago Ros,70
Antonio Vega,71
Aníbal Arias,72
Aníbal Sampayo,73
Aníbal Troilo,74
Aparcoa,75
Aquelarre,76
Araca la Cana,77
Arak Pacha,78
Arbolito,79
Arco Iris,80
Argentino Ledesma,81
Argentino Luna,82
Aries Vigoth,83
Armando Hernandez,84
Armando Manzanero,85
Armando Palomas,86
Armando Rosas,87
Astor Piazzolla,88
Astrid Hadad,89
Atahualpa Yupanqui,90
Aterciopelados,91
Avalanch,92
Axel,93
Axel Krygier,94
Aymama,95
Azucar Moreno,96
Babasónicos,97
Bacilos,98
Banda Conmoción,99
Banda XXI,100
Barbara Y Dick,101
Barroco Andino,102
Barón Rojo,103
Basilio,104
Bersuit Vergarabat,105
Bienvenido Granda,106
Billo's,107
Billy Bond y La Pesada,108
Binomio de Oro,109
Binomio de Oro de América,110
Blacanblus,111
Bobby Solo,112
Bonka,113
Bonny Cepeda,114
Bordemar,115
Botellita De Jerez,116
